ref_name,subject_name,rx_name,collection_date_cmp,collection_date,location,cumulative_group,section
Atmar21,Ad26COV2S_2dose,Ad26COV2S_2dose_29days,~,2021-07-02,USA,Ad26COV2S_2dose,NULL
Atmar21,mRNA1273_2dose_Ad26COV2S_1dose,mRNA1273_2dose_Ad26COV2S_1dose_29days,~,2021-07-14,USA,mRNA1273_2dose_Ad26COV2S_1dose,NULL
Atmar21,BNT162b2_2dose_Ad26COV2S_1dose,BNT162b2_2dose_Ad26COV2S_1dose_29days,~,2021-07-19,USA,BNT162b2_2dose_Ad26COV2S_1dose,NULL
Atmar21,Ad26COV2S_2dose_18to55,Ad26COV2S_2dose_18to55_day01,~,2021-06-04,USA,Ad26COV2S_2dose_18to55,NULL
Atmar21,Ad26COV2S_2dose_18to55,Ad26COV2S_2dose_18to55_day15,~,2021-06-18,USA,Ad26COV2S_2dose_18to55,NULL
Atmar21,Ad26COV2S_2dose__geq56,Ad26COV2S_2dose__geq56_day01,~,2021-06-04,USA,Ad26COV2S_2dose__geq56,NULL
Atmar21,Ad26COV2S_2dose__geq56,Ad26COV2S_2dose__geq56_day15,~,2021-06-18,USA,Ad26COV2S_2dose__geq56,NULL
Atmar21,mRNA1273_2dose_Ad26COV2S_1dose_18to55,mRNA1273_2dose_Ad26COV2S_1dose_18to55_day01,~,2021-06-16,USA,mRNA1273_2dose_Ad26COV2S_1dose_18to55,NULL
Atmar21,mRNA1273_2dose_Ad26COV2S_1dose_18to55,mRNA1273_2dose_Ad26COV2S_1dose_18to55_day15,~,2021-06-30,USA,mRNA1273_2dose_Ad26COV2S_1dose_18to55,NULL
Atmar21,mRNA1273_2dose_Ad26COV2S_1dose__geq56,mRNA1273_2dose_Ad26COV2S_1dose__geq56_day01,~,2021-06-16,USA,mRNA1273_2dose_Ad26COV2S_1dose__geq56,NULL
Atmar21,mRNA1273_2dose_Ad26COV2S_1dose__geq56,mRNA1273_2dose_Ad26COV2S_1dose__geq56_day15,~,2021-06-30,USA,mRNA1273_2dose_Ad26COV2S_1dose__geq56,NULL
Atmar21,BNT162b2_2dose_Ad26COV2S_1dose_18to55,BNT162b2_2dose_Ad26COV2S_1dose_18to55_day01,~,2021-06-21,USA,BNT162b2_2dose_Ad26COV2S_1dose_18to55,NULL
Atmar21,BNT162b2_2dose_Ad26COV2S_1dose_18to55,BNT162b2_2dose_Ad26COV2S_1dose_18to55_day15,~,2021-07-05,USA,BNT162b2_2dose_Ad26COV2S_1dose_18to55,NULL
Atmar21,BNT162b2_2dose_Ad26COV2S_1dose__geq56,BNT162b2_2dose_Ad26COV2S_1dose__geq56_day01,~,2021-06-21,USA,BNT162b2_2dose_Ad26COV2S_1dose__geq56,NULL
Atmar21,BNT162b2_2dose_Ad26COV2S_1dose__geq56,BNT162b2_2dose_Ad26COV2S_1dose__geq56_day15,~,2021-07-05,USA,BNT162b2_2dose_Ad26COV2S_1dose__geq56,NULL
Atmar21,Ad26COV2S_1dose_BNT162b2_1dose_18to55,Ad26COV2S_1dose_BNT162b2_1dose_18to55_day01,~,2021-06-20,USA,Ad26COV2S_1dose_BNT162b2_1dose_18to55,NULL
Atmar21,Ad26COV2S_1dose_BNT162b2_1dose_18to55,Ad26COV2S_1dose_BNT162b2_1dose_18to55_day15,~,2021-07-04,USA,Ad26COV2S_1dose_BNT162b2_1dose_18to55,NULL
Atmar21,Ad26COV2S_1dose_BNT162b2_1dose__geq56,Ad26COV2S_1dose_BNT162b2_1dose__geq56_day01,~,2021-06-20,USA,Ad26COV2S_1dose_BNT162b2_1dose__geq56,NULL
Atmar21,Ad26COV2S_1dose_BNT162b2_1dose__geq56,Ad26COV2S_1dose_BNT162b2_1dose__geq56_day15,~,2021-07-04,USA,Ad26COV2S_1dose_BNT162b2_1dose__geq56,NULL
Atmar21,mRNA1273_2dose_BNT162b2_1dose_18to55,mRNA1273_2dose_BNT162b2_1dose_18to55_day01,~,2021-07-11,USA,mRNA1273_2dose_BNT162b2_1dose_18to55,NULL
Atmar21,mRNA1273_2dose_BNT162b2_1dose_18to55,mRNA1273_2dose_BNT162b2_1dose_18to55_day15,~,2021-07-25,USA,mRNA1273_2dose_BNT162b2_1dose_18to55,NULL
Atmar21,mRNA1273_2dose_BNT162b2_1dose__geq56,mRNA1273_2dose_BNT162b2_1dose__geq56_day01,~,2021-07-11,USA,mRNA1273_2dose_BNT162b2_1dose__geq56,NULL
Atmar21,mRNA1273_2dose_BNT162b2_1dose__geq56,mRNA1273_2dose_BNT162b2_1dose__geq56_day15,~,2021-07-25,USA,mRNA1273_2dose_BNT162b2_1dose__geq56,NULL
Atmar21,BNT162b2_3dose_18to55,BNT162b2_3dose_18to55_day01,~,2021-07-19,USA,BNT162b2_3dose_18to55,NULL
Atmar21,BNT162b2_3dose_18to55,BNT162b2_3dose_18to55_day15,~,2021-08-02,USA,BNT162b2_3dose_18to55,NULL
Atmar21,BNT162b2_3dose__geq56,BNT162b2_3dose__geq56_day01,~,2021-07-19,USA,BNT162b2_3dose__geq56,NULL
Atmar21,BNT162b2_3dose__geq56,BNT162b2_3dose__geq56_day15,~,2021-08-02,USA,BNT162b2_3dose__geq56,NULL
