ref_name,rx_name,subject_name,collection_date,cumulative_group
Wu21,Moderna_36d_01,Mod,2020-09-04,Mod
Wu21,Moderna_36d_02,Mod,2020-09-04,Mod
Wu21,Moderna_36d_03,Mod,2020-09-04,Mod
Wu21,Moderna_36d_04,Mod,2020-09-04,Mod
Wu21,Moderna_36d_05,Mod,2020-09-04,Mod
Wu21,Moderna_36d_06,Mod,2020-09-04,Mod
Wu21,Moderna_36d_07,Mod,2020-09-04,Mod
Wu21,Moderna_36d_08,Mod,2020-09-04,Mod
Wu21,Moderna_36d_median,Mod,2020-09-04,Mod
Wu21,Moderna_36d_Run02_01,Mod,2020-09-04,Mod
Wu21,Moderna_36d_Run02_02,Mod,2020-09-04,Mod
Wu21,Moderna_36d_Run02_03,Mod,2020-09-04,Mod
Wu21,Moderna_36d_Run02_04,Mod,2020-09-04,Mod
Wu21,Moderna_36d_Run02_05,Mod,2020-09-04,Mod
Wu21,Moderna_36d_Run02_06,Mod,2020-09-04,Mod
Wu21,Moderna_36d_Run02_07,Mod,2020-09-04,Mod
Wu21,Moderna_36d_Run02_08,Mod,2020-09-04,Mod
