ref_name,rx_name,iso_name,section,assay_name,potency_type,potency,cumulative_count,potency_upper_limit,potency_lower_limit,potency_unit,date_added
Banerjee22,CP_Delta_inf_1,hCoV-19/Canada/ON_ON-VIDO-01-2/2020,Figure 2B,Virus isolate,NT50,479,1,700,10,NULL,2022-04-01
Banerjee22,CP_Delta_inf_2,hCoV-19/Canada/ON_ON-VIDO-01-2/2020,Figure 2B,Virus isolate,NT50,359,1,700,10,NULL,2022-04-01
Banerjee22,CP_Delta_inf_3,hCoV-19/Canada/ON_ON-VIDO-01-2/2020,Figure 2B,Virus isolate,NT50,229,1,700,10,NULL,2022-04-01
Banerjee22,CP_Delta_inf_4,hCoV-19/Canada/ON_ON-VIDO-01-2/2020,Figure 2B,Virus isolate,NT50,88,1,700,10,NULL,2022-04-01
Banerjee22,CP_Delta_inf_5,hCoV-19/Canada/ON_ON-VIDO-01-2/2020,Figure 2B,Virus isolate,NT50,69,1,700,10,NULL,2022-04-01
Banerjee22,CP_Delta_inf_6,hCoV-19/Canada/ON_ON-VIDO-01-2/2020,Figure 2B,Virus isolate,NT50,22,1,700,10,NULL,2022-04-01
Banerjee22,CP_Delta_inf_7,hCoV-19/Canada/ON_ON-VIDO-01-2/2020,Figure 2B,Virus isolate,NT50,18,1,700,10,NULL,2022-04-01
Banerjee22,CP_Delta_inf_8,hCoV-19/Canada/ON_ON-VIDO-01-2/2020,Figure 2B,Virus isolate,NT50,7,1,700,10,NULL,2022-04-01
Banerjee22,CP_Delta_inf_9,hCoV-19/Canada/ON_ON-VIDO-01-2/2020,Figure 2B,Virus isolate,NT50,3,1,700,10,NULL,2022-04-01
Banerjee22,CP_Delta_inf_10,hCoV-19/Canada/ON_ON-VIDO-01-2/2020,Figure 2B,Virus isolate,NT50,3,1,700,10,NULL,2022-04-01
Banerjee22,CP_Delta_inf_11,Banerjee22 Beta full genome,Figure 2B,Virus isolate,NT50,76,1,700,10,NULL,2022-04-01
Banerjee22,CP_Delta_inf_12,Banerjee22 Beta full genome,Figure 2B,Virus isolate,NT50,45,1,700,10,NULL,2022-04-01
Banerjee22,CP_Delta_inf_13,Banerjee22 Beta full genome,Figure 2B,Virus isolate,NT50,45,1,700,10,NULL,2022-04-01
Banerjee22,CP_Delta_inf_14,Banerjee22 Beta full genome,Figure 2B,Virus isolate,NT50,28,1,700,10,NULL,2022-04-01
Banerjee22,CP_Delta_inf_15,Banerjee22 Beta full genome,Figure 2B,Virus isolate,NT50,21,1,700,10,NULL,2022-04-01
Banerjee22,CP_Delta_inf_16,Banerjee22 Beta full genome,Figure 2B,Virus isolate,NT50,3,1,700,10,NULL,2022-04-01
Banerjee22,CP_Delta_inf_17,Banerjee22 Delta full genome,Figure 2B,Virus isolate,NT50,700,1,700,10,NULL,2022-04-01
Banerjee22,CP_Delta_inf_18,Banerjee22 Delta full genome,Figure 2B,Virus isolate,NT50,618,1,700,10,NULL,2022-04-01
Banerjee22,CP_Delta_inf_19,Banerjee22 Delta full genome,Figure 2B,Virus isolate,NT50,475,1,700,10,NULL,2022-04-01
Banerjee22,CP_Delta_inf_20,Banerjee22 Delta full genome,Figure 2B,Virus isolate,NT50,197,1,700,10,NULL,2022-04-01
Banerjee22,CP_Delta_inf_21,Banerjee22 Delta full genome,Figure 2B,Virus isolate,NT50,98,1,700,10,NULL,2022-04-01
Banerjee22,CP_Delta_inf_22,Banerjee22 Delta full genome,Figure 2B,Virus isolate,NT50,34,1,700,10,NULL,2022-04-01
Banerjee22,CP_Delta_inf_23,Banerjee22 Delta full genome,Figure 2B,Virus isolate,NT50,24,1,700,10,NULL,2022-04-01
Banerjee22,CP_Delta_inf_24,Banerjee22 Delta full genome,Figure 2B,Virus isolate,NT50,10,1,700,10,NULL,2022-04-01
Banerjee22,CP_Delta_inf_25,Banerjee22 Delta full genome,Figure 2B,Virus isolate,NT50,10,1,700,10,NULL,2022-04-01
Banerjee22,CP_Delta_inf_26,Banerjee22 Delta full genome,Figure 2B,Virus isolate,NT50,7,1,700,10,NULL,2022-04-01
Banerjee22,CP_Delta_inf_27,Banerjee22 Omicron full genome,Figure 2B,Virus isolate,NT50,88,1,700,10,NULL,2022-04-01
Banerjee22,CP_Delta_inf_28,Banerjee22 Omicron full genome,Figure 2B,Virus isolate,NT50,42,1,700,10,NULL,2022-04-01
Banerjee22,CP_Delta_inf_29,Banerjee22 Omicron full genome,Figure 2B,Virus isolate,NT50,35,1,700,10,NULL,2022-04-01
Banerjee22,CP_Delta_inf_30,Banerjee22 Omicron full genome,Figure 2B,Virus isolate,NT50,35,1,700,10,NULL,2022-04-01
Banerjee22,CP_Delta_inf_31,Banerjee22 Omicron full genome,Figure 2B,Virus isolate,NT50,17,1,700,10,NULL,2022-04-01
Banerjee22,CP_Delta_inf_32,Banerjee22 Omicron full genome,Figure 2B,Virus isolate,NT50,10,1,700,10,NULL,2022-04-01
Banerjee22,CP_Ances_inf_1,hCoV-19/Canada/ON_ON-VIDO-01-2/2020,Figure 2D,Virus isolate,NT50,691,1,700,10,NULL,2022-04-01
Banerjee22,CP_Ances_inf_2,hCoV-19/Canada/ON_ON-VIDO-01-2/2020,Figure 2D,Virus isolate,NT50,413,1,700,10,NULL,2022-04-01
Banerjee22,CP_Ances_inf_3,hCoV-19/Canada/ON_ON-VIDO-01-2/2020,Figure 2D,Virus isolate,NT50,342,1,700,10,NULL,2022-04-01
Banerjee22,CP_Ances_inf_4,hCoV-19/Canada/ON_ON-VIDO-01-2/2020,Figure 2D,Virus isolate,NT50,286,1,700,10,NULL,2022-04-01
Banerjee22,CP_Ances_inf_5,hCoV-19/Canada/ON_ON-VIDO-01-2/2020,Figure 2D,Virus isolate,NT50,233,1,700,10,NULL,2022-04-01
Banerjee22,CP_Ances_inf_6,hCoV-19/Canada/ON_ON-VIDO-01-2/2020,Figure 2D,Virus isolate,NT50,201,1,700,10,NULL,2022-04-01
Banerjee22,CP_Ances_inf_7,hCoV-19/Canada/ON_ON-VIDO-01-2/2020,Figure 2D,Virus isolate,NT50,138,1,700,10,NULL,2022-04-01
Banerjee22,CP_Ances_inf_8,hCoV-19/Canada/ON_ON-VIDO-01-2/2020,Figure 2D,Virus isolate,NT50,138,1,700,10,NULL,2022-04-01
Banerjee22,CP_Ances_inf_9,hCoV-19/Canada/ON_ON-VIDO-01-2/2020,Figure 2D,Virus isolate,NT50,72,1,700,10,NULL,2022-04-01
Banerjee22,CP_Ances_inf_10,hCoV-19/Canada/ON_ON-VIDO-01-2/2020,Figure 2D,Virus isolate,NT50,55,1,700,10,NULL,2022-04-01
Banerjee22,CP_Ances_inf_11,hCoV-19/Canada/ON_ON-VIDO-01-2/2020,Figure 2D,Virus isolate,NT50,50,1,700,10,NULL,2022-04-01
Banerjee22,CP_Ances_inf_12,hCoV-19/Canada/ON_ON-VIDO-01-2/2020,Figure 2D,Virus isolate,NT50,13,1,700,10,NULL,2022-04-01
Banerjee22,CP_Ances_inf_13,Banerjee22 Beta full genome,Figure 2D,Virus isolate,NT50,112,1,700,10,NULL,2022-04-01
Banerjee22,CP_Ances_inf_14,Banerjee22 Beta full genome,Figure 2D,Virus isolate,NT50,43,1,700,10,NULL,2022-04-01
