ref_name,subject_name,vaccination_date_cmp,vaccination_date,vaccine_name,dosage,location,section
Niyomnaitham22,CoronaVac_ChAdOx1_BNT162b2,~,2021-05-01,CoronaVac,1,Thailand,Study design
Niyomnaitham22,CoronaVac_ChAdOx1_BNT162b2,~,2021-06-01,AZD1222,2,Thailand,Study design
Niyomnaitham22,CoronaVac_ChAdOx1_BNT162b2,~,2021-09-01,BNT162b2,3,Thailand,Study design
Niyomnaitham22,CoronaVac_BNT162b2,~,2021-05-01,CoronaVac,1,Thailand,Study design
Niyomnaitham22,CoronaVac_BNT162b2,~,2021-06-01,BNT162b2,2,Thailand,Study design
Niyomnaitham22,ChAdOx1_CoronaVac_BNT162b2,~,2021-05-01,AZD1222,1,Thailand,Study design
Niyomnaitham22,ChAdOx1_CoronaVac_BNT162b2,~,2021-06-01,CoronaVac,2,Thailand,Study design
Niyomnaitham22,ChAdOx1_CoronaVac_BNT162b2,~,2021-09-01,BNT162b2,3,Thailand,Study design
Niyomnaitham22,ChAdOx1_BNT162b2,~,2021-05-01,AZD1222,1,Thailand,Study design
Niyomnaitham22,ChAdOx1_BNT162b2,~,2021-06-01,BNT162b2,2,Thailand,Study design
Niyomnaitham22,BNT162b2_CoronaVac,~,2021-05-01,BNT162b2,1,Thailand,Study design
Niyomnaitham22,BNT162b2_CoronaVac,~,2021-06-01,CoronaVac,2,Thailand,Study design
Niyomnaitham22,BNT162b2_ChAdOx1,~,2021-05-01,BNT162b2,1,Thailand,Study design
Niyomnaitham22,BNT162b2_ChAdOx1,~,2021-06-01,AZD1222,2,Thailand,Study design
Niyomnaitham22,BNT162b2_2dose,~,2021-05-01,BNT162b2,1,Thailand,Study design
Niyomnaitham22,BNT162b2_2dose,~,2021-06-01,BNT162b2,2,Thailand,Study design
